,user_name,teks
0,sigitprsty_,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
1,bildon_,Dan akhirnya polisi pun turun tangan untuk membubarkan supporter yang turun ke lapangan. Tapi kenapa kalian malah nembak gas air mata ke TRIBUN ? Yang rusuh yg dilapangan kalian malah nembak ke TRIBUN.  Itulah kenapa terjadi kepanikan diantara supporter.
2,RegaUlin,"@ZoelWanF @detikcom @KomnasHAM Laah Komnas Ham kan sdh jlas mnjlaskn bhw fans Arema turun klapangan bkn utk bikin rusuh tpi utk memnyemangati pemain. Krusuhan trjadi saat pnmbakan Gas Air Mata ke Tribun krn bamnyaknya fans turun ke Tribun utk mnyemangati timnya tapi dkira mau bikin rusuh, krnya Ada tmbakn Gas"
3,Conrad0104,"@okioktaf @korantempo Pernah lihat Bonek rusuh? Persija rusuh? Atau klub lainnya rusuh? Ada tear gas? Alasan kalian sama. Memang sebab akibat itu ada, tp selain kejadian ini, gak ada penggunaan gas air mata di laga lain. Kok aneh?"
4,Hardi_kahar,"@Naff___12 @JakartaCrew_ Rusuhnya dmn?karena ada pitch invader?klo misalkan yg masuk lapangan rusuh,ngapain nembak gas air mata ke tribun?akal sehat dipake om"
5,KoplakID4,"@AzizyPambudi @korantempo woy, lu liat gak rusuh bonek di sda kemaren, gk pake nembak gas air mata ke tribun, akhirnya aman gkda yg mninggal. mikir"
6,khamdasulthoni_,"Kenapa gas air mata di tembakkan padahal sudah jelas2 dilarang?
Okelah kalo cuman itu solusinya, masih di anggap wajar karena emang bertujuan membubarkan massa, tapi yang janggal di pikiran saya kenapa harus di tembak ke tribun juga? Pdhal yang rusuh yang turun di lapangan"
7,khamdasulthoni_,"Para pemain arema, soal rusuh tentang memukul pemain juga banyak, dan para polisi aparat TNI langsung bertindak tegas agar tak terjadi kerusuhan disini juga saya setuju.
Yang kedua tentang gas air mata, banyak banget timbul pertanyaan tentang gas air mata di kepala saya"
8,cepcepna,"@bendower67 @manggalakurnia Pasti paham, cuma ya kenapa gas airmatanya ke arah tribun? Kan sejak awal tidak boleh ada gas air mata dari aturan FIFA. Mungkin polisinya gak paham penanganan ricuh dalam stadion terus asal aja disamain penanganan pas rusuh demo dsb"
9,Lemah04673415,"@panca66 Kalau mau saling menyalahkan.
Seporter bikin rusuh.
Penonton biasa panik.
Gas air mata jadi sasaran.
Pintu belum di buka.
Panpel keamanan tidak siaga untuk penonton umum.
Jadi orang bijaksana.
Ketika penonton umum kena imbasnya.
Orang sok pinter bikin suasana jadi semakin panas"
10,Official_Yulian,"@yudisti77 @xdgp___ @registaco Terus yg ga rusuh kok jadi korban?
Logika bro.
Jangan lu generalisir semua korban adalah SUPPORTER RUSUH dan wajar di-mati-kan dengan GAS AIR MATA. 
Plis, hati nurani gunain bro."
11,KevinJr151194,"@tvOneNews Coba min angkat lagi video tahun 2017 saat suporter Persib rusuh pada masuk kelapangan, mereka bener"" Chaos karna sampe kursi di lempar""in ke lapangan, tapi gak ada tuh korban jiwa, apalagi sampe ratusan, karna apa?? Ya karna gak ada GAS AIR MATA!!!"
12,LawanKedzoliman,@arkiii7777 @registaco Bagaimana pun jika di tarik mundur tidak usah ada pertandingan sepakbola trus jangan pergi ke stadion...jika tidak ada tembakan gas air mata walaupun rusuh tidak makan korban jiwa bos suporter tidak bersenjata...korek aja di ambil panitia 😂😂😂
13,dullah0305,"@PelatihBart @msaid_didu Rusuh tengah lapangan ditembak gas air mata di tribun, apakah itu pengendalian atau pembunuhan."
14,Naff___12,"@JakartaCrew_ Sama saja mas eee, klu kita gak rusuh gak bakal ada gas Air mata. Benar bahwa Gas Air mata itu tdak benar diarahkan ke kerumunan, tapi apakah kita benarkan tindakan Para perusuh itu?"
15,ArayaMusa,"RT @NurFadlyshallam: @Kang_vector Bnyak yang bilang knapa polisi ga gini ga gitu aja.
Saya cba melihat dri sisi petugas keamanannya yang mm…"
16,ramaa55270638,"@AremaFC udh itu sama sama salah, polisi salah karna pake gas air mata yang dilarang oleh fifa.terus suporternya juga salah karna pad rusuh gara gara tim mereka kalah. Apa harus kaya gitu klo kalah? ngga kan? Jadi ya sama sama salah yang satu pake gas air mata yang satu anarkis"
17,_rennyree,"ora membenarkan yg memancing kerusuhan duluan, ga sekali dua kali liga di Indonesia rusuh gini, cuma apakah pernah memakan korban sebanyak ini?

kalo keamanan waktu menjadikan alasan untuk menembakkan gas air mata,
jadi apa yg kalian lindungi? hingga menumbalkan banyak nyawa?"
18,ipul_ipulll,"@PradiptaKinayah @desiyanti_ratna @Buzzcocks876 @MalihDhakal @pandji @stywnyudha Kita flashback kejadian Bonek di kejadian di glora delta Sidoarjo. Supporter rusuh juga turun ke lapangan, tapi kok ga ada korban jiwa? Ya karena ga ada gas air mata yang ditembakkan ke arah tribun"
19,WinfreMicheLE,"Tdak ada yg mendukung Pelaku pembunuhan. OtakMu sja yg konslet. Semua Berawal dari Jiwa2 rusuh kalian. Kalianlah penyebab adanya Gas Air Mata. 

Jika sy yg memiliki otoritas untuk memberi sanksi atas peristiwa kmarin. Supporter rusuhlah yg paling bertanggungjawab"
20,Michell38623664,"@jambuai @kang___L @4nd103125330 Smua jga sudah sesuai SOP bang, gas air mata d gunakan ketika situasi sudah mulai tidak kendali, terus apa salah nya klau pra suporter yg menyalakan flare ga beda jauh mereka jga yg rusuh"
21,_Goentoer_,"RT @NyiMasRuminah: @liquiidcocaine @pandji Kejadian di Kanjuruhan dimulai oleh supporter yg tdk taat aturan, rusuh ke lapangan, dihalau gas…"
22,honeyshyun,"@felbiex_ karena ngga terima kalah

coba supporter nggak rusuh, apa mungkin polisi lempar gas air mata? tentu aja engga
kalo polisi nggak lempar gas air mata, ada yang meninggal ngga? tentu aja engga

semua pihak salah, dan harus merasa bersalah atas meninggalnya ratusan korban"
23,Ellyana1906,"@mbaupeh Coba bikin monumental virtual di twitter para Korban Kajuruhan, apakah mereka pantas di Gas Air Mata? Apakah mereka suporter yg rusuh, pantaskah diperlakukan demikian? MIKIR WOOY BUZZERRRSSSS"
24,honeyshyun,"@felbiex_ ngga bisa, nggak akan merasa bersalah mereka😅 padahal kalau pakai logika yaa, polisi nggak akan ambil tindakan gas air mata kalau si supporter itu tetap tenang...

korban meninggal karena gas air mata - gas air mata dilempar karena supporter rusuh - supporter rusuh karena"
25,ronaldua1,"@basoka123 @Ndaxwz @riyanndk Suporter, Panpel, POLRI, LIB, PSSI semuanya SALAH om!! Klo POLRI dikatakan salah krn menggunakan gas air mata yg dilarang oleh FIFA. Nah, apakah suporter masuk ke lapangan rusuh dibolehkan oleh FIFA?"
26,Bule_Chan,"RT @ionhamzah: Persebaya kalah, bonek turun ke lapangan, rusuh, tidak ada tembakan gas air mata, tidak ada yg meninggal

Arema kalah, arema…"
27,ek_prasw,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
28,AL_Yoman,"@Matthewyusuf5 @arifin_awik @imandnugroho @jokowi Stadion Semeru, kapasitas 10.000
Final Porprov, yg dateng 15.000
Pintu kecil, tangga menurun kecil, gelap, pintu ditutup pas pertandingan.
Waktu pertandingan penonton masuk lapangan.
Selesai pertandingan penonton rusuh.
Kenapa ngak ada korban jiwa?
Ngak ada Gas air mata d tribun"
29,hypergengsi,"@Naff___12 selalu nyalahin suporter yg rusuh duluan, tp ga pernah nyalahin aparat yg nembak gas air mata yg bikin bencana ini terjadi"
30,hypergengsi,"@Naff___12 ya kalo yg rusuh di lapangan, kenapa yg dilempar gas air mata yg di tribun?"
31,Naff___12,"Tdak ada yg mendukung Pelaku pembunuhan. OtakMu sja yg konslet. Semua Berawal dari Jiwa2 rusuh kalian. Kalianlah penyebab adanya Gas Air Mata. 

Jika sy yg memiliki otoritas untuk memberi sanksi atas peristiwa kmarin. Supporter rusuhlah yg paling bertanggungjawab https://t.co/C7Y6aLwYuq"
32,kikukmeong,"@rendembaju @barbequeenie @MuneshigeBadger @indosupporter Penyebab kematian bukan rusuh , tapi gas air mata, kalau gak nembak gas air mata ga ada yg mati, penonton masuk stadion gak cuma di Kanjuruhan, tapi yg korban knp cuma di Kanjuruhan. Ngerti?"
33,Isoobb_,"@abanggeutanyoe @dede_dedot96 Bca2 brita awalny pnnton ga rusuh, cuma ada aparat provokasi yg tetiba mukul pnnton akhirnya stiap pnnton brsatu standing buat yg dpkul, ad anjing placak abis tu kondusif lgi, tpi blunder puncaknya knp lpasin gas air mata, prtnyaannya knp gas air mata dlepaskn pdhl uda anteng?"
34,Buzzcocks876,"@jo_19_ @Entusdyesus @hudacahjurang @pandji Ya kalo gk ditembak gas air mata pasti dikeroyok,
Yg paling benar ya jangan rusuh dan mau terima kekalahan, gak bakal ada yg dirugikan."
35,tonzyla,"@Akbaaruu @arkiii7777 @registaco polisi yang nembak gas air mata memang eksekutor utama, tapi jangan membenarkan aksi rusuh yang jelas-jelas salah. pemain persebaya yang terhadang pulangnya, stadion dan sekitaran stadion juga korban."
36,Isoobb_,"@abanggeutanyoe @dede_dedot96 Tapi d luar negri tangani penonton rusuh ga pake kekerasan, ga pake anjing pelacak, ga pake gas air mata, ga pake ditendang, ga pake di pukul pake tongkat tapi tangani paket tindakan yg kondusif"
37,boresterrana,"RT @Amin_Hammers: perlu digaris bawahi, korban kebanyakan terkena gas air mata dari polis dan berdesak-desakan menuju pintu keluar stadion,…"
38,beritajatimcom,"Kesaksian Nur Saguwanto dari Gate 11: Tak Ada Rusuh, Tiba-tiba Ada Gas Air Mata.

Malang (https://t.co/ksziGGp1k3) – Nur Saguwanto (19) masih merasakan nyeri di dada. Dampak dia menghirup… https://t.co/IhgVbeUW4Y #Peristiwa #Jatim #Malang #TragediKanjuruhan via @beritajatimcom"
39,9105grace,"@CNNIndonesia Bela diri apaan, sdh banyak video yg nunjukin klo kalian melempar gas air mata k tribun bagian tengah dan atas, yg mna mereka sama sekali gak ikutan rusuh d lapangan. Klo mau ngeles tu pintaran dikit napa"
40,Shuggie60147641,"@5chatzi @Dirty_Stones @MusuhMisuh @jupermen @alphatethaa @rizalbudiart @bulbulgummm @LayananFacebook @D_sember2 @fiamaulana @murszid @iamaremaa @Bimantara25 Kembali lagi ke poin awal 
1. Kalau aparat tidak menggunakan gas air mata, kemungkinan nya tetap ada 2: korban berkurang atau korban bertambah
2. Kalau supporter tidak rusuh, kemungkinannya cuma 1, tidak akan ada korban.
😎😎🤣🤣🤣🤣🤣"
41,Gorilla1923,"RT @NyiMasRuminah: @liquiidcocaine @pandji Kejadian di Kanjuruhan dimulai oleh supporter yg tdk taat aturan, rusuh ke lapangan, dihalau gas…"
42,warisanebapak,"RT @Chusnuddin99: Tangkap Yuli Sumpil &amp; Suporter yg rusuh sblm gas air mata dikeluarkan. termasuk yg menyerang tim @persebayaupdate
Hukum A…"
43,ionhamzah,"Persebaya kalah, bonek turun ke lapangan, rusuh, tidak ada tembakan gas air mata, tidak ada yg meninggal

Arema kalah, aremania turun ke lapangan, rusuh, ada tembakan gas air mata, ratusan meninggal

Kalo logikanya dipake, sebenarnya mudah kok mencari penyebab yg benar https://t.co/ewoT938B2N"
44,apaaja_bol3h,"@sarwanvanjava @EvansDW_69 @indosupporter Ya amankan yg rusuh gebukin pake tongkat, pukul mundur mereka yg rusuh dilapangan bukan yg ditribun ditembakan gas air mata https://t.co/SIFM3Ki6eD"
45,longaway__,"@arkanantaaaa @arkiii7777 @registaco lagian kalo kesalahannya turun ke lapangan, kok yang di tembakin gas air mata yg di tribun. mereka ga rusuh, lho.
https://t.co/fYQMOVbmAe"
46,Naff___12,@haryopanuntun Gak bakal ditembakan gas Air mata klau kalian gak rusuh. Sesimpel itu
47,0xejaemuddyin,RT @khaidir_Tr: Dari sini dapat pelajaran bahwasanya sgala kerusuhan atau anarkis disepak bola tdk harus dilerai dengan gas air mata. conto…
