tweet_clean,tweet,label
"['tangkap', 'yuli', 'sumpil', 'supporter', 'rusuh', 'gas', 'air', 'mata', 'keluar', 'serang', 'tim', 'hukum']",tangkap yuli sumpil supporter rusuh gas air mata keluar serang tim hukum,negative
"['polisi', 'turun', 'tangan', 'bubar', 'supporter', 'turun', 'lapang', 'cinta', 'gas', 'air', 'mata', 'tribun', 'rusuh', 'lapang', 'cinta', 'tribun', 'panik', 'supporter']",polisi turun tangan bubar supporter turun lapang cinta gas air mata tribun rusuh lapang cinta tribun panik supporter,negative
"['komnas', 'ham', 'gemar', 'arema', 'turun', 'lapang', 'rusuh', 'semangat', 'main', 'rusuh', 'tembak', 'gas', 'air', 'mata', 'tribun', 'banyak', 'gemar', 'turun', 'tribun', 'semangat', 'tim', 'rusuh', 'tembak', 'gas']",komnas ham gemar arema turun lapang rusuh semangat main rusuh tembak gas air mata tribun banyak gemar turun tribun semangat tim rusuh tembak gas,negative
"['lihat', 'bocah', 'nekat', 'rusuh', 'persija', 'rusuh', 'klub', 'rusuh', 'tear', 'gas', 'alas', 'akibat', 'jadi', 'guna', 'gas', 'air', 'mata', 'laga', 'aneh']",lihat bocah nekat rusuh persija rusuh klub rusuh tear gas alas akibat jadi guna gas air mata laga aneh,negative
"['rusuh', 'mana', 'pitch', 'invader', 'masuk', 'lapang', 'rusuh', 'cinta', 'gas', 'air', 'mata', 'tribun', 'akal', 'sehat', 'dipake', 'om']",rusuh mana pitch invader masuk lapang rusuh cinta gas air mata tribun akal sehat dipake om,negative
"['woy', 'lihat', 'rusuh', 'bocah', 'nekat', 'sda', 'kemarin', 'pakai', 'cinta', 'gas', 'air', 'mata', 'tribun', 'aman', 'mninggal', 'mikir']",woy lihat rusuh bocah nekat sda kemarin pakai cinta gas air mata tribun aman mninggal mikir,negative
"['gas', 'air', 'mata', 'tembak', 'larang', 'oke', 'solusi', 'anggap', 'wajar', 'tuju', 'bubar', 'massa', 'janggal', 'pikir', 'tembak', 'tribun', 'rusuh', 'turun', 'lapang']",gas air mata tembak larang oke solusi anggap wajar tuju bubar massa janggal pikir tembak tribun rusuh turun lapang,negative
"['main', 'arema', 'rusuh', 'pukul', 'main', 'polisi', 'aparat', 'tni', 'langsung', 'tindak', 'rusuh', 'tuju', 'gas', 'air', 'mata', 'banget', 'timbul', 'gas', 'air', 'mata', 'kepala']",main arema rusuh pukul main polisi aparat tni langsung tindak rusuh tuju gas air mata banget timbul gas air mata kepala,negative
"['paham', 'iya', 'gas', 'airmatanya', 'arah', 'tribun', 'gas', 'air', 'mata', 'atur', 'fifa', 'polisi', 'paham', 'tangan', 'ricuh', 'stadion', 'disamain', 'tangan', 'pas', 'rusuh', 'demo']",paham iya gas airmatanya arah tribun gas air mata atur fifa polisi paham tangan ricuh stadion disamain tangan pas rusuh demo,negative
"['salah', 'seporter', 'rusuh', 'tonton', 'panik', 'gas', 'air', 'mata', 'sasar', 'pintu', 'buka', 'panpel', 'aman', 'siaga', 'tonton', 'orang', 'bijaksana', 'tonton', 'kena', 'imbas', 'orang', 'sok', 'pinter', 'suasana', 'panas']",salah seporter rusuh tonton panik gas air mata sasar pintu buka panpel aman siaga tonton orang bijaksana tonton kena imbas orang sok pinter suasana panas,negative
"['rusuh', 'korban', 'logika', 'saudara', 'lakilaki', 'generalisir', 'korban', 'supporter', 'rusuh', 'wajar', 'mati', 'gas', 'air', 'mata', 'plis', 'hati', 'nurani', 'gunain', 'saudara', 'lakilaki']",rusuh korban logika saudara lakilaki generalisir korban supporter rusuh wajar mati gas air mata plis hati nurani gunain saudara lakilaki,negative
"['coba', 'min', 'angkat', 'video', 'supporter', 'persib', 'rusuh', 'masuk', 'lapang', 'chaos', 'kursi', 'lempar', 'in', 'lapang', 'korban', 'jiwa', 'ratus', 'iya', 'gas', 'air', 'mata']",coba min angkat video supporter persib rusuh masuk lapang chaos kursi lempar in lapang korban jiwa ratus iya gas air mata,negative
"['tarik', 'mundur', 'tanding', 'sepakbola', 'pergi', 'stadion', 'tembak', 'gas', 'air', 'mata', 'rusuh', 'makan', 'korban', 'jiwa', 'bos', 'supporter', 'senjata', 'korek', 'ambil', 'panitia']",tarik mundur tanding sepakbola pergi stadion tembak gas air mata rusuh makan korban jiwa bos supporter senjata korek ambil panitia,negative
"['rusuh', 'lapang', 'tembak', 'gas', 'air', 'mata', 'tribun', 'kendali', 'bunuh']",rusuh lapang tembak gas air mata tribun kendali bunuh,negative
"['mas', 'eee', 'rusuh', 'gas', 'air', 'mata', 'gas', 'air', 'mata', 'tdak', 'arah', 'kerumun', 'benar', 'tindak', 'rusuh']",mas eee rusuh gas air mata gas air mata tdak arah kerumun benar tindak rusuh,negative
"['bilang', 'knapa', 'polisi', 'cba', 'sisi', 'tugas', 'aman', 'mm']",bilang knapa polisi cba sisi tugas aman mm,negative
"['salah', 'polisi', 'salah', 'pakai', 'gas', 'air', 'mata', 'larang', 'fifa', 'suporter', 'salah', 'pad', 'rusuh', 'gara', 'gara', 'tim', 'kalah', 'kaya', 'kalah', 'iya', 'salah', 'pakai', 'gas', 'air', 'mata', 'anarkis']",salah polisi salah pakai gas air mata larang fifa suporter salah pad rusuh gara gara tim kalah kaya kalah iya salah pakai gas air mata anarkis,negative
"['ora', 'benar', 'pancing', 'rusuh', 'duluan', 'kali', 'liga', 'indonesia', 'rusuh', 'makan', 'korban', 'aman', 'jadi', 'alas', 'tembak', 'gas', 'air', 'mata', 'lindung', 'tumbal', 'nyawa']",ora benar pancing rusuh duluan kali liga indonesia rusuh makan korban aman jadi alas tembak gas air mata lindung tumbal nyawa,negative
